HOSP_ID,ADM_DISC,RATE,INTERVAL_LOWER_LIMIT,INTERVAL_HIGHER_LIMIT,START_QUARTER,START_DATE,END_QUARTER,END_DATE
390101,121,10.01,0,21.31,3Q2013,07/01/2013,2Q2015,06/30/2015
390102,802,9.78,2.17,17.39,3Q2013,07/01/2013,2Q2015,06/30/2015
390104,11,13.57,0.4,26.74,3Q2013,07/01/2013,2Q2015,06/30/2015
390107,1243,10.48,4.88,16.08,3Q2013,07/01/2013,2Q2015,06/30/2015
390110,522,16.48,7.49,25.47,3Q2013,07/01/2013,2Q2015,06/30/2015
390111,2461,13.25,9.73,16.78,3Q2013,07/01/2013,2Q2015,06/30/2015
390112,57,13.69,1.78,25.61,3Q2013,07/01/2013,2Q2015,06/30/2015
390113,715,9.37,0.33,18.41,3Q2013,07/01/2013,2Q2015,06/30/2015
390114,1065,7.23,0.71,13.76,3Q2013,07/01/2013,2Q2015,06/30/2015
390115,1008,7.67,0.54,14.81,3Q2013,07/01/2013,2Q2015,06/30/2015
390116,152,21.29,10.59,31.98,3Q2013,07/01/2013,2Q2015,06/30/2015
390117,68,13.89,1.87,25.91,3Q2013,07/01/2013,2Q2015,06/30/2015
390118,159,10.58,0.17,21,3Q2013,07/01/2013,2Q2015,06/30/2015
390119,537,29.42,21.44,37.4,3Q2013,07/01/2013,2Q2015,06/30/2015
390123,450,28.74,19.73,37.75,3Q2013,07/01/2013,2Q2015,06/30/2015
390125,255,15.45,5.33,25.57,3Q2013,07/01/2013,2Q2015,06/30/2015
390127,414,22.57,14.39,30.76,3Q2013,07/01/2013,2Q2015,06/30/2015
390130,5,13.59,0.41,26.77,3Q2013,07/01/2013,2Q2015,06/30/2015
390133,3368,12.06,8.14,15.99,3Q2013,07/01/2013,2Q2015,06/30/2015
390137,1157,14.56,8.71,20.41,3Q2013,07/01/2013,2Q2015,06/30/2015
390138,22,12.67,0,25.4,3Q2013,07/01/2013,2Q2015,06/30/2015
390139,1770,17.7,11.66,23.74,3Q2013,07/01/2013,2Q2015,06/30/2015
390142,595,11.38,4.56,18.2,3Q2013,07/01/2013,2Q2015,06/30/2015
390145,398,14.58,4.75,24.41,3Q2013,07/01/2013,2Q2015,06/30/2015
390146,162,17.29,5.93,28.64,3Q2013,07/01/2013,2Q2015,06/30/2015
390147,200,12.57,2.11,23.02,3Q2013,07/01/2013,2Q2015,06/30/2015
390150,13,12.3,0,24.84,3Q2013,07/01/2013,2Q2015,06/30/2015
390151,942,8.58,2.2,14.96,3Q2013,07/01/2013,2Q2015,06/30/2015
390153,1188,9.5,2.71,16.29,3Q2013,07/01/2013,2Q2015,06/30/2015
390156,241,16.85,7.84,25.85,3Q2013,07/01/2013,2Q2015,06/30/2015
390157,73,17.83,5.29,30.36,3Q2013,07/01/2013,2Q2015,06/30/2015
390160,119,10.96,0.37,21.55,3Q2013,07/01/2013,2Q2015,06/30/2015
390162,491,13.04,5.48,20.6,3Q2013,07/01/2013,2Q2015,06/30/2015
390163,153,15.74,3.98,27.5,3Q2013,07/01/2013,2Q2015,06/30/2015
390164,3967,16.33,13.26,19.41,3Q2013,07/01/2013,2Q2015,06/30/2015
390168,422,13.35,3.94,22.75,3Q2013,07/01/2013,2Q2015,06/30/2015
390173,168,11.87,1.73,22.01,3Q2013,07/01/2013,2Q2015,06/30/2015
390174,4963,6.54,3.6,9.47,3Q2013,07/01/2013,2Q2015,06/30/2015
390178,433,10.24,1.45,19.03,3Q2013,07/01/2013,2Q2015,06/30/2015
390179,709,15.59,8.89,22.29,3Q2013,07/01/2013,2Q2015,06/30/2015
390180,714,18.93,12.15,25.71,3Q2013,07/01/2013,2Q2015,06/30/2015
390183,129,9.62,0,20.71,3Q2013,07/01/2013,2Q2015,06/30/2015
390184,21,12.41,0,25,3Q2013,07/01/2013,2Q2015,06/30/2015
390185,267,22.24,13.4,31.08,3Q2013,07/01/2013,2Q2015,06/30/2015
390192,9,12.78,0,25.56,3Q2013,07/01/2013,2Q2015,06/30/2015
390194,92,13.32,1.64,25,3Q2013,07/01/2013,2Q2015,06/30/2015
390195,1572,16.93,12.06,21.8,3Q2013,07/01/2013,2Q2015,06/30/2015
390197,353,10.88,1.81,19.95,3Q2013,07/01/2013,2Q2015,06/30/2015
390198,83,8.38,0,18.72,3Q2013,07/01/2013,2Q2015,06/30/2015
390199,47,11.58,0,23.75,3Q2013,07/01/2013,2Q2015,06/30/2015
390201,458,9.91,1.28,18.53,3Q2013,07/01/2013,2Q2015,06/30/2015
390203,941,5.38,0,12.84,3Q2013,07/01/2013,2Q2015,06/30/2015
390204,320,21.88,11.6,32.17,3Q2013,07/01/2013,2Q2015,06/30/2015
390211,333,9.53,0,19.47,3Q2013,07/01/2013,2Q2015,06/30/2015
390217,20,12.19,0,24.68,3Q2013,07/01/2013,2Q2015,06/30/2015
390219,244,11.77,1.63,21.92,3Q2013,07/01/2013,2Q2015,06/30/2015
390220,108,17.07,5.71,28.43,3Q2013,07/01/2013,2Q2015,06/30/2015
390222,1272,18.03,10.85,25.21,3Q2013,07/01/2013,2Q2015,06/30/2015
390223,1424,15.52,9.71,21.34,3Q2013,07/01/2013,2Q2015,06/30/2015
390225,466,9.53,0.43,18.63,3Q2013,07/01/2013,2Q2015,06/30/2015
